"input\image1.png","7.402940","6285"
"input\image2.png","7.994511","61822"
"input\image1.png","7.402940","6285"
"input\image2.png","7.994511","61822"
"input\image3.png","7.959200","3864"
"input\text-ch.txt","5.765796","16226"
"input\text-ch.zip","7.966659","7989"
"input\text-en.7z","7.985390","12982"
"input\text-en.txt","5.006716","36781"
"input\text-mix.txt","6.077909","8569"
"input\text-mix.zip","7.929036","4642"
"input\case1_one.bin","0.000000","8192"
"input\case2_uniform256.bin","8.000000","32768"
"input\case3_binary01.bin","1.000000","8192"
