"X","Y","H(X)","H(Y)","H(XY)","H(X|Y)","H(Y|X)","I(X;Y)","p"
"experiment\DMS.p0=0.2.len=1048576.bin","experiment\BSC.p=0.2.DMS.p0=0.2.len=1048576.bin","0.7221330704540548","0.904319605618351","1.4398620208033228","0.5355424151849716","0.7177289503492678","0.18659065526908325","0.199981689453125"
"experiment\DMS.p0=0.5.len=1048576.bin","experiment\BSC.p=0.2.DMS.p0=0.5.len=1048576.bin","0.9999765124746869","0.9999778815434529","1.7164149071301535","0.7164370255867005","0.7164383946554665","0.28353948688798636","0.199981689453125"
"experiment\DMS.p0=0.9.len=1048576.bin","experiment\BSC.p=0.2.DMS.p0=0.9.len=1048576.bin","0.46894908867095014","0.8269151190600892","1.188257710778068","0.361342591717979","0.7193086221071183","0.10760649695297114","0.199981689453125"
"experiment\DMS.p0=0.2.len=1048576.bin","experiment\BSC.p=0.5.DMS.p0=0.2.len=1048576.bin","0.7221330704540548","0.9999761128561397","1.7166462634519792","0.7166701505958397","0.9945131929979246","0.005462919858215121","0.500062108039856"
"experiment\DMS.p0=0.5.len=1048576.bin","experiment\BSC.p=0.5.DMS.p0=0.5.len=1048576.bin","0.9999765124746869","0.999979869464851","1.9942746049401898","0.9942947354753385","0.9942980924655026","0.0056817769993483536","0.500062108039856"
"experiment\DMS.p0=0.9.len=1048576.bin","experiment\BSC.p=0.5.DMS.p0=0.9.len=1048576.bin","0.46894908867095014","0.9999756811034867","1.4652680410598666","0.46529235995638","0.9963189523889167","0.0036567287145701233","0.500062108039856"
"experiment\DMS.p0=0.2.len=1048576.bin","experiment\BSC.p=0.9.DMS.p0=0.2.len=1048576.bin","0.7221330704540548","0.8269345954843297","1.188246485977666","0.36131189049333645","0.4661134155236112","0.3608211799607184","0.9001022577285767"
"experiment\DMS.p0=0.5.len=1048576.bin","experiment\BSC.p=0.9.DMS.p0=0.5.len=1048576.bin","0.9999765124746869","0.9999753160876691","1.4649584477369815","0.46498313164931243","0.46498193526229464","0.5349933808253744","0.9001022577285767"
"experiment\DMS.p0=0.9.len=1048576.bin","experiment\BSC.p=0.9.DMS.p0=0.9.len=1048576.bin","0.46894908867095014","0.6801288100069833","0.9360957143400277","0.25596690433304464","0.46714662566907783","0.2129821843379055","0.9001022577285767"
